Filename,ID,mge_params,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_input_reads,cleaning_kept_reads,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_ambig_bases,cleaning_cov_percent,cleaning_cov_avg,cleaning_cov_max,cleaning_cov_min
BSNTN2976-24_r_1.3_s_50_BSNTN2976-24,BSNTN2976-24,r_1.3_s_50_merge,8861360,638,5211,1524,0.0,107.0,46.81496062992126,49.0,638,563,0,62,13,0,91.93,50.93,107.0,1.0
BSNTN2992-24_r_1_s_100_BSNTN2992-24,BSNTN2992-24,r_1_s_100_merge,7085698,364,6,1524,0.0,69.0,30.87992125984252,30.0,364,360,0,1,3,0,99.61,31.0,69.0,2.0
BSNTN3038-24_r_1.3_s_50_BSNTN3038-24,BSNTN3038-24,r_1.3_s_50_merge,10718571,1341,5872,1524,0.0,199.0,114.79330708661418,116.0,1341,1243,0,83,15,0,98.43,116.63,199.0,2.0
BSNTN2976-24_r_1.5_s_50_BSNTN2976-24,BSNTN2976-24,r_1.5_s_50_merge,8861360,194,5655,1524,0.0,45.0,10.204724409448819,4.0,194,167,0,21,6,0,66.93,15.25,45.0,1.0
BSNTN2958-24_r_1.3_s_50_BSNTN2958-24,BSNTN2958-24,r_1.3_s_50_merge,8200801,405,3969,1524,0.0,61.0,28.255905511811022,30.0,405,367,0,28,10,0,98.03,28.82,61.0,1.0
BSNTN3019-24_r_1.5_s_100_BSNTN3019-24,BSNTN3019-24,r_1.5_s_100_merge,4248470,16,78,1560,0.0,5.0,0.7884615384615384,0.0,16,14,0,1,1,0,27.12,2.91,5.0,1.0
BSNTN3027-24_r_1.5_s_50_BSNTN3027-24,BSNTN3027-24,r_1.5_s_50_merge,8704547,121,3052,1524,0.0,16.0,7.108267716535433,7.0,121,111,0,8,2,0,88.78,8.01,16.0,1.0
BSNTN2956-24_r_1_s_50_BSNTN2956-24,BSNTN2956-24,r_1_s_50_merge,8217262,650,3541,1524,0.0,73.0,31.511811023622048,30.0,650,432,0,186,32,0,98.23,32.08,73.0,1.0
BSNTN3020-24_r_1.5_s_50_BSNTN3020-24,BSNTN3020-24,r_1.5_s_50_merge,13371035,823,6489,1524,0.0,138.0,65.03149606299213,63.0,823,774,0,36,13,0,94.29,68.97,138.0,1.0
BSNTN2989-24_r_1.3_s_50_BSNTN2989-24,BSNTN2989-24,r_1.3_s_50_merge,6054666,332,2502,1524,0.0,59.0,25.909448818897637,28.0,332,278,0,50,4,0,95.87,27.03,59.0,1.0
