Plate_Number,Sample_ID,Process_ID,Dataset
BGE_00001,BGE_00001_A01,BSNHM002-24,
BGE_00001,BGE_00001_A02,BSNHM003-24,
BGE_00001,BGE_00001_A03,BSNHM004-24,
BGE_00001,BGE_00001_A04,BSNHM005-24,
BGE_00001,BGE_00001_A05,BSNHM006-24,
BGE_00001,BGE_00001_A06,BSNHM007-24,
BGE_00001,BGE_00001_A07,BSNHM008-24,
BGE_00001,BGE_00001_A08,BSNHM009-24,
BGE_00001,BGE_00001_A09,BSNHM010-24,
BGE_00001,BGE_00001_A10,BSNHM011-24,
BGE_00001,BGE_00001_A11,BSNHM012-24,
BGE_00001,BGE_00001_A12,BSNHM013-24,
BGE_00001,BGE_00001_B01,BSNHM014-24,
BGE_00001,BGE_00001_B02,BSNHM015-24,
BGE_00001,BGE_00001_B03,BSNHM016-24,
BGE_00001,BGE_00001_B04,BSNHM017-24,
BGE_00001,BGE_00001_B05,BSNHM018-24,
BGE_00001,BGE_00001_B06,BSNHM019-24,
BGE_00001,BGE_00001_B07,BSNHM020-24,
BGE_00001,BGE_00001_B08,BSNHM021-24,
BGE_00001,BGE_00001_B09,BSNHM022-24,
BGE_00001,BGE_00001_B10,BSNHM023-24,
BGE_00001,BGE_00001_B11,BSNHM024-24,
BGE_00001,BGE_00001_B12,BSNHM025-24,
BGE_00001,BGE_00001_C01,BSNHM026-24,
BGE_00001,BGE_00001_C02,BSNHM027-24,
BGE_00001,BGE_00001_C03,BSNHM028-24,
BGE_00001,BGE_00001_C04,BSNHM029-24,
BGE_00001,BGE_00001_C05,BSNHM030-24,
BGE_00001,BGE_00001_C06,BSNHM031-24,
BGE_00001,BGE_00001_C07,BSNHM032-24,
BGE_00001,BGE_00001_C08,BSNHM033-24,
BGE_00001,BGE_00001_C09,BSNHM034-24,
BGE_00001,BGE_00001_C10,BSNHM035-24,
BGE_00001,BGE_00001_C11,BSNHM036-24,
BGE_00001,BGE_00001_C12,BSNHM037-24,
BGE_00001,BGE_00001_D01,BSNHM038-24,
BGE_00001,BGE_00001_D02,BSNHM039-24,
BGE_00001,BGE_00001_D03,BSNHM040-24,
BGE_00001,BGE_00001_D04,BSNHM041-24,
