Filename,ID,mge_params,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_input_reads,cleaning_kept_reads,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_ambig_bases,cleaning_cov_percent,cleaning_cov_avg,cleaning_cov_max,cleaning_cov_min
BSNTN2238-24_r_1.3_s_50_BSNTN2238-24,BSNTN2238-24,r_1.3_s_50_merge,326,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2224-24_r_1.5_s_50_BSNTN2224-24,BSNTN2224-24,r_1.5_s_50_merge,206,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2210-24_r_1.5_s_100_BSNTN2210-24,BSNTN2210-24,r_1.5_s_100_merge,147,0,1,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2274-24_r_1_s_100_BSNTN2274-24,BSNTN2274-24,r_1_s_100_merge,3980216,248,1,1533,3.0,55.0,14.620352250489237,12.0,248,244,0,2,2,0,100.0,14.62,55.0,3.0
BSNTN2279-24_r_1_s_50_BSNTN2279-24,BSNTN2279-24,r_1_s_50_merge,370,0,0,1536,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2248-24_r_1.5_s_50_BSNTN2248-24,BSNTN2248-24,r_1.5_s_50_merge,219,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2211-24_r_1.5_s_100_BSNTN2211-24,BSNTN2211-24,r_1.5_s_100_merge,294,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2186-24_r_1_s_100_BSNTN2186-24,BSNTN2186-24,r_1_s_100_merge,8035260,116,1,1569,0.0,17.0,7.326959847036329,8.0,116,114,0,1,1,0,87.38,8.39,17.0,1.0
BSNTN2193-24_r_1.5_s_50_BSNTN2193-24,BSNTN2193-24,r_1.5_s_50_merge,444,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2232-24_r_1.3_s_50_BSNTN2232-24,BSNTN2232-24,r_1.3_s_50_merge,5989771,120,360,1569,0.0,15.0,3.9273422562141493,3.0,120,95,0,15,10,0,85.85,4.57,15.0,1.0
BSNTN2189-24_r_1_s_50_BSNTN2189-24,BSNTN2189-24,r_1_s_50_merge,1759073,6,2,1569,0.0,2.0,0.21223709369024857,0.0,6,4,1,1,0,0,17.97,1.18,2.0,1.0
BSNTN2220-24_r_1_s_50_BSNTN2220-24,BSNTN2220-24,r_1_s_50_merge,8174592,297,941,1569,0.0,41.0,10.852772466539196,10.0,297,251,0,27,19,0,96.56,11.24,41.0,1.0
