file,seq_id,process_id,parameters,length,leading_gaps,trailing_gaps,internal_gaps,ambiguous_bases,longest_stretch,barcode_length,barcode_ambiguous_bases,barcode_longest_stretch,barcode_rank,full_rank,best_sequence,selected_full_fasta,selected_barcode_fasta
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2946-24_r_1.3_s_50_BSNTN2946-24,BSNTN2946-24,r_1.3_s_50_BSNTN2946-24,1524,3,24,27,5,924,661,5,477,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2946-24_r_1_s_100_BSNTN2946-24,BSNTN2946-24,r_1_s_100_BSNTN2946-24,1524,3,81,3,1,924,661,1,477,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2946-24_r_1.3_s_100_BSNTN2946-24,BSNTN2946-24,r_1.3_s_100_BSNTN2946-24,1524,6,81,9,0,924,661,0,414,3,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2946-24_r_1.5_s_100_BSNTN2946-24,BSNTN2946-24,r_1.5_s_100_BSNTN2946-24,1524,153,168,78,1,387,661,1,186,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2947-24_r_1_s_50_BSNTN2947-24,BSNTN2947-24,r_1_s_50_BSNTN2947-24,1524,0,3,0,20,1521,661,6,661,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2946-24_r_1.5_s_50_BSNTN2946-24,BSNTN2946-24,r_1.5_s_50_BSNTN2946-24,1524,6,24,201,3,387,661,3,186,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2947-24_r_1_s_100_BSNTN2947-24,BSNTN2947-24,r_1_s_100_BSNTN2947-24,1524,6,12,3,5,1365,661,1,553,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2947-24_r_1.3_s_50_BSNTN2947-24,BSNTN2947-24,r_1.3_s_50_BSNTN2947-24,1524,0,9,99,6,747,661,0,520,2,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2947-24_r_1.5_s_100_BSNTN2947-24,BSNTN2947-24,r_1.5_s_100_BSNTN2947-24,1524,180,192,570,1,234,661,1,160,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2947-24_r_1.5_s_50_BSNTN2947-24,BSNTN2947-24,r_1.5_s_50_BSNTN2947-24,1524,0,21,621,4,258,661,3,249,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2947-24_r_1.3_s_100_BSNTN2947-24,BSNTN2947-24,r_1.3_s_100_BSNTN2947-24,1524,180,69,75,0,747,661,0,520,2,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2948-24_r_1_s_50_BSNTN2948-24,BSNTN2948-24,r_1_s_50_BSNTN2948-24,1524,0,24,12,36,1443,661,25,661,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2946-24_r_1_s_50_BSNTN2946-24,BSNTN2946-24,r_1_s_50_BSNTN2946-24,1524,0,6,3,13,999,661,9,477,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2948-24_r_1_s_100_BSNTN2948-24,BSNTN2948-24,r_1_s_100_BSNTN2948-24,1524,0,102,0,5,1422,661,3,661,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2948-24_r_1.3_s_50_BSNTN2948-24,BSNTN2948-24,r_1.3_s_50_BSNTN2948-24,1524,0,24,96,13,492,661,1,453,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2948-24_r_1.3_s_100_BSNTN2948-24,BSNTN2948-24,r_1.3_s_100_BSNTN2948-24,1524,0,195,111,17,402,661,8,402,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4226_snpseq01200_00235/concat_mode/consensus/YB-4226_snpseq01200_plate00235_concat.fasta,BSNTN2948-24_r_1.5_s_50_BSNTN2948-24,BSNTN2948-24,r_1.5_s_50_BSNTN2948-24,1524,144,108,465,19,339,661,9,168,5,2,no,no,no
