file,seq_id,process_id,parameters,length,leading_gaps,trailing_gaps,internal_gaps,ambiguous_bases,longest_stretch,barcode_length,barcode_ambiguous_bases,barcode_longest_stretch,barcode_rank,full_rank,best_sequence,selected_full_fasta,selected_barcode_fasta
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2186-24_r_1_s_50_BSNTN2186-24,BSNTN2186-24,r_1_s_50_BSNTN2186-24,1569,9,30,66,8,1245,661,3,544,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2186-24_r_1_s_100_BSNTN2186-24,BSNTN2186-24,r_1_s_100_BSNTN2186-24,1569,18,168,15,0,1155,661,0,454,3,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2186-24_r_1.5_s_50_BSNTN2186-24,BSNTN2186-24,r_1.5_s_50_BSNTN2186-24,1569,9,30,300,7,393,661,4,339,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2186-24_r_1.3_s_50_BSNTN2186-24,BSNTN2186-24,r_1.3_s_50_BSNTN2186-24,1569,9,30,150,5,1245,661,0,544,2,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2186-24_r_1.3_s_100_BSNTN2186-24,BSNTN2186-24,r_1.3_s_100_BSNTN2186-24,1569,18,168,57,0,1155,661,0,454,3,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2186-24_r_1.5_s_100_BSNTN2186-24,BSNTN2186-24,r_1.5_s_100_BSNTN2186-24,1569,18,168,327,1,369,661,0,222,4,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2187-24_r_1.3_s_50_BSNTN2187-24,BSNTN2187-24,r_1.3_s_50_BSNTN2187-24,0,0,0,0,0,0,0,0,0,6,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2187-24_r_1.3_s_100_BSNTN2187-24,BSNTN2187-24,r_1.3_s_100_BSNTN2187-24,0,0,0,0,0,0,0,0,0,6,1,yes,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2187-24_r_1.5_s_50_BSNTN2187-24,BSNTN2187-24,r_1.5_s_50_BSNTN2187-24,0,0,0,0,0,0,0,0,0,6,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2187-24_r_1_s_50_BSNTN2187-24,BSNTN2187-24,r_1_s_50_BSNTN2187-24,0,0,0,0,0,0,0,0,0,6,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2187-24_r_1_s_100_BSNTN2187-24,BSNTN2187-24,r_1_s_100_BSNTN2187-24,0,0,0,0,0,0,0,0,0,6,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2187-24_r_1.5_s_100_BSNTN2187-24,BSNTN2187-24,r_1.5_s_100_BSNTN2187-24,0,0,0,0,0,0,0,0,0,6,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2188-24_r_1.3_s_50_BSNTN2188-24,BSNTN2188-24,r_1.3_s_50_BSNTN2188-24,1569,27,402,648,5,150,661,0,150,4,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2188-24_r_1.3_s_100_BSNTN2188-24,BSNTN2188-24,r_1.3_s_100_BSNTN2188-24,1569,180,609,561,0,147,661,0,147,4,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2188-24_r_1_s_50_BSNTN2188-24,BSNTN2188-24,r_1_s_50_BSNTN2188-24,1569,27,387,432,31,171,661,20,171,5,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2188-24_r_1.5_s_100_BSNTN2188-24,BSNTN2188-24,r_1.5_s_100_BSNTN2188-24,1569,234,1269,0,0,66,661,0,66,4,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2189-24_r_1_s_100_BSNTN2189-24,BSNTN2189-24,r_1_s_100_BSNTN2189-24,0,0,0,0,0,0,0,0,0,6,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2188-24_r_1_s_100_BSNTN2188-24,BSNTN2188-24,r_1_s_100_BSNTN2188-24,1569,165,609,456,0,171,661,0,171,4,1,yes,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2189-24_r_1.3_s_100_BSNTN2189-24,BSNTN2189-24,r_1.3_s_100_BSNTN2189-24,0,0,0,0,0,0,0,0,0,6,1,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2189-24_r_1_s_50_BSNTN2189-24,BSNTN2189-24,r_1_s_50_BSNTN2189-24,1569,24,498,741,11,87,661,0,45,4,2,no,no,no
/home/dparsons/scratch/MGE_outputs/YB-4227_snpseq01188_00232/concat_mode/consensus/YB-4227_snpseq01188_plate00232_concat.fasta,BSNTN2189-24_r_1.5_s_100_BSNTN2189-24,BSNTN2189-24,r_1.5_s_100_BSNTN2189-24,0,0,0,0,0,0,0,0,0,6,1,no,no,no
