Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
BSNHM1412-24_r_1.5_s_100_BSNHM1412-24,BSNHM1412-24,r_1.5_s_100_merge,>BSNHM1412-24_r_1.5_s_100_BSNHM1412-24_merge,1546016,QOW08071.1,species:Attagenus augustatus,235199,1,1,1533,0.0,1.0,0.06,0.0,null,null,null,null,null,null
BSNHM1396-24_r_1_s_50_BSNHM1396-24,BSNHM1396-24,r_1_s_50_merge,>BSNHM1396-24_r_1_s_50_BSNHM1396-24_merge,1526871,AYW52169.1,family:Anthicidae,243775,36,6,1557,0.0,5.0,1.26,1.0,null,null,null,null,null,null
BSNHM1357-24_r_1.3_s_50_BSNHM1357-24,BSNHM1357-24,r_1.3_s_50_merge,>BSNHM1357-24_r_1.3_s_50_BSNHM1357-24_merge,1380138,YP_010587758.1,tribe:Tanytarsini,457815,379,23,1536,2.0,33.0,15.93,15.0,null,null,null,null,null,null
BSNHM1161-24_r_1.3_s_100_BSNHM1161-24,BSNHM1161-24,r_1.3_s_100_merge,>BSNHM1161-24_r_1.3_s_100_BSNHM1161-24_merge,2882366,UKO31657.1,subfamily:Orthocladiinae,595805,32,0,1539,0.0,7.0,1.36,1.0,null,null,null,null,null,null
BSNHM1381-24_r_1.5_s_50_BSNHM1381-24,BSNHM1381-24,r_1.5_s_50_merge,>BSNHM1381-24_r_1.5_s_50_BSNHM1381-24_merge,1526871,AYW52169.1,family:Anthicidae,912264,628,235,1557,0.0,73.0,27.48,26.0,null,null,null,null,null,null
BSNHM647-24_r_1_s_100_BSNHM647-24,BSNHM647-24,r_1_s_100_merge,>BSNHM647-24_r_1_s_100_BSNHM647-24_merge,577142,WYN07176.1,genus:Olibrus,907656,200,3,1542,0.0,26.0,9.31,9.0,null,null,null,null,null,null
BSNHM1184-24_r_1_s_100_BSNHM1184-24,BSNHM1184-24,r_1_s_100_merge,>BSNHM1184-24_r_1_s_100_BSNHM1184-24_merge,347267,AYW52169.1,family:Anthicidae,261853,104,1,1557,0.0,12.0,5.09,5.0,null,null,null,null,null,null
BSNHM1312-24_r_1.5_s_50_BSNHM1312-24,BSNHM1312-24,r_1.5_s_50_merge,>BSNHM1312-24_r_1.5_s_50_BSNHM1312-24_merge,2729703,QUB02909.1,genus:Polypedilum,325408,8,35,1536,0.0,4.0,0.26,0.0,null,null,null,null,null,null
BSNHM1298-24_r_1.5_s_100_BSNHM1298-24,BSNHM1298-24,r_1.5_s_100_merge,>BSNHM1298-24_r_1.5_s_100_BSNHM1298-24_merge,3039816,XCX10659.1,species:Microtendipes baishanzuensis,107283,0,3,1533,0.0,0.0,0.0,0.0,null,null,null,null,null,null
BSNHM649-24_r_1.3_s_50_BSNHM649-24,BSNHM649-24,r_1.3_s_50_merge,>BSNHM649-24_r_1.3_s_50_BSNHM649-24_merge,2561997,QKX48739.1,family:Xyloryctidae,628459,400,72,1530,4.0,50.0,25.66,25.0,null,null,null,null,null,null
BSNHM1177-24_r_1_s_100_BSNHM1177-24,BSNHM1177-24,r_1_s_100_merge,>BSNHM1177-24_r_1_s_100_BSNHM1177-24_merge,347267,AYW52169.1,family:Anthicidae,410772,65,3,1557,0.0,11.0,3.2,3.0,null,null,null,null,null,null
BSNHM1329-24_r_1.3_s_50_BSNHM1329-24,BSNHM1329-24,r_1.3_s_50_merge,>BSNHM1329-24_r_1.3_s_50_BSNHM1329-24_merge,994304,YP_010397578.1,species:Potthastia gaedii,651170,1834,21,1533,27.0,117.0,62.33,62.0,null,null,null,null,null,null
BSNHM1323-24_r_1.5_s_100_BSNHM1323-24,BSNHM1323-24,r_1.5_s_100_merge,>BSNHM1323-24_r_1.5_s_100_BSNHM1323-24_merge,1974152,XYI27234.1,genus:Thienemannimyia,350764,10,10,1533,0.0,3.0,0.48,0.0,null,null,null,null,null,null
BSNHM1390-24_r_1.5_s_100_BSNHM1390-24,BSNHM1390-24,r_1.5_s_100_merge,>BSNHM1390-24_r_1.5_s_100_BSNHM1390-24_merge,1526871,AYW52169.1,family:Anthicidae,557914,217,24,1557,0.0,32.0,11.82,12.0,null,null,null,null,null,null
BSNHM1206-24_r_1.5_s_50_BSNHM1206-24,BSNHM1206-24,r_1.5_s_50_merge,>BSNHM1206-24_r_1.5_s_50_BSNHM1206-24_merge,1526871,AYW52169.1,family:Anthicidae,186824,147,36,1557,0.0,16.0,7.14,7.0,null,null,null,null,null,null
BSNHM1381-24_r_1_s_50_BSNHM1381-24,BSNHM1381-24,r_1_s_50_merge,>BSNHM1381-24_r_1_s_50_BSNHM1381-24_merge,1526871,AYW52169.1,family:Anthicidae,912264,799,64,1557,0.0,74.0,34.63,32.0,null,null,null,null,null,null
BSNHM1189-24_r_1.3_s_100_BSNHM1189-24,BSNHM1189-24,r_1.3_s_100_merge,>BSNHM1189-24_r_1.3_s_100_BSNHM1189-24_merge,347267,AYW52169.1,family:Anthicidae,250890,67,2,1557,0.0,9.0,3.23,3.0,null,null,null,null,null,null
BSNHM1162-24_r_1.3_s_50_BSNHM1162-24,BSNHM1162-24,r_1.3_s_50_merge,>BSNHM1162-24_r_1.3_s_50_BSNHM1162-24_merge,2882366,UKO31657.1,subfamily:Orthocladiinae,296349,422,17,1539,0.0,37.0,12.16,11.0,null,null,null,null,null,null
BSNHM1398-24_r_1.3_s_100_BSNHM1398-24,BSNHM1398-24,r_1.3_s_100_merge,>BSNHM1398-24_r_1.3_s_100_BSNHM1398-24_merge,1526871,AYW52169.1,family:Anthicidae,534429,16,1,1557,0.0,3.0,0.74,1.0,null,null,null,null,null,null
BSNHM1315-24_r_1.3_s_50_BSNHM1315-24,BSNHM1315-24,r_1.3_s_50_merge,>BSNHM1315-24_r_1.3_s_50_BSNHM1315-24_merge,1887143,XOL08833.1,genus:Conchapelopia,103383,3,18,1533,0.0,2.0,0.13,0.0,null,null,null,null,null,null
BSNHM1179-24_r_1.3_s_100_BSNHM1179-24,BSNHM1179-24,r_1.3_s_100_merge,>BSNHM1179-24_r_1.3_s_100_BSNHM1179-24_merge,347267,AYW52169.1,family:Anthicidae,227722,18,0,1557,0.0,3.0,0.81,0.0,null,null,null,null,null,null
BSNHM589-24_r_1_s_100_BSNHM589-24,BSNHM589-24,r_1_s_100_merge,>BSNHM589-24_r_1_s_100_BSNHM589-24_merge,929995,ADN43194.1,tribe:Theclini,230786,5,1,1533,0.0,1.0,0.27,0.0,null,null,null,null,null,null
BSNHM1192-24_r_1_s_100_BSNHM1192-24,BSNHM1192-24,r_1_s_100_merge,>BSNHM1192-24_r_1_s_100_BSNHM1192-24_merge,347267,AYW52169.1,family:Anthicidae,851426,547,4,1557,0.0,57.0,34.72,35.0,null,null,null,null,null,null
BSNHM1152-24_r_1.3_s_50_BSNHM1152-24,BSNHM1152-24,r_1.3_s_50_merge,>BSNHM1152-24_r_1.3_s_50_BSNHM1152-24_merge,611572,UKO31657.1,subfamily:Orthocladiinae,99329,0,6,1539,0.0,0.0,0.0,0.0,null,null,null,null,null,null
BSNHM1179-24_r_1.3_s_50_BSNHM1179-24,BSNHM1179-24,r_1.3_s_50_merge,>BSNHM1179-24_r_1.3_s_50_BSNHM1179-24_merge,347267,AYW52169.1,family:Anthicidae,227722,73,12,1557,0.0,9.0,2.46,2.0,null,null,null,null,null,null
BSNHM1314-24_r_1_s_100_BSNHM1314-24,BSNHM1314-24,r_1_s_100_merge,>BSNHM1314-24_r_1_s_100_BSNHM1314-24_merge,2578439,XXS06708.1,tribe:Pentaneurini,240302,2,2,1536,0.0,1.0,0.18,0.0,null,null,null,null,null,null
BSNHM655-24_r_1.5_s_50_BSNHM655-24,BSNHM655-24,r_1.5_s_50_merge,>BSNHM655-24_r_1.5_s_50_BSNHM655-24_merge,2746747,QKX48739.1,species:Linoclostis gonatias,187404,68,9,1530,0.0,8.0,3.22,3.0,null,null,null,null,null,null
BSNHM635-24_r_1.5_s_100_BSNHM635-24,BSNHM635-24,r_1.5_s_100_merge,>BSNHM635-24_r_1.5_s_100_BSNHM635-24_merge,1425589,QWB85678.1,genus:Orsodacne,239039,41,3,1539,0.0,5.0,1.94,2.0,null,null,null,null,null,null
BSNHM1200-24_r_1.5_s_50_BSNHM1200-24,BSNHM1200-24,r_1.5_s_50_merge,>BSNHM1200-24_r_1.5_s_50_BSNHM1200-24_merge,3037950,WYN06521.1,species:Aulacoderus canariensis,164553,73,23,1530,0.0,11.0,2.48,2.0,null,null,null,null,null,null
BSNHM627-24_r_1.3_s_100_BSNHM627-24,BSNHM627-24,r_1.3_s_100_merge,>BSNHM627-24_r_1.3_s_100_BSNHM627-24_merge,131577,ASW26902.1,tribe:Sermylini,297366,49,0,1563,0.0,8.0,2.46,2.0,null,null,null,null,null,null
BSNHM1216-24_r_1.3_s_50_BSNHM1216-24,BSNHM1216-24,r_1.3_s_50_merge,>BSNHM1216-24_r_1.3_s_50_BSNHM1216-24_merge,2017636,AYW52169.1,family:Anthicidae,433672,16,53,1557,0.0,5.0,0.63,0.0,null,null,null,null,null,null
