Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
BSNHM4584-25_r_1.5_s_50_BSNHM4584-25,BSNHM4584-25,r_1.5_s_50,>BSNHM4584-25_r_1.5_s_50_BSNHM4584-25,1553577,ARH54677.1,subfamily:Tachyporinae,10907493,684,1126,1542,0.0,66.0,36.91,37.0,null,null,null,null,null,null
BSNHM1918-25_r_1_s_50_BSNHM1918-25,BSNHM1918-25,r_1_s_50,>BSNHM1918-25_r_1_s_50_BSNHM1918-25,2138626,YP_009728660.1,subfamily:Alysiinae,19306887,959,133,1533,0.0,80.0,29.11,26.0,null,null,null,null,null,null
BSNHM4597-25_r_1.5_s_50_BSNHM4597-25,BSNHM4597-25,r_1.5_s_50,>BSNHM4597-25_r_1.5_s_50_BSNHM4597-25,1461467,UFR81802.1,family:Trogidae,19070718,9118,682,1530,26.0,1227.0,260.15,190.0,null,null,null,null,null,null
BGSNL060-23_r_1.3_s_100_BGSNL060-23,BGSNL060-23,r_1.3_s_100,>BGSNL060-23_r_1.3_s_100_BGSNL060-23,2834377,WWT36369.1,subfamily:Sterrhinae,12100536,2702,36,1536,37.0,253.0,164.3,171.0,null,null,null,null,null,null
BSNHM1624-25_r_1.5_s_50_BSNHM1624-25,BSNHM1624-25,r_1.5_s_50,>BSNHM1624-25_r_1.5_s_50_BSNHM1624-25,2727542,UPU95823.1,subfamily:Aristoteliinae,9111067,753,545,1533,15.0,60.0,33.87,32.0,null,null,null,null,null,null
BGSNL023-23_r_1.3_s_50_BGSNL023-23,BGSNL023-23,r_1.3_s_50,>BGSNL023-23_r_1.3_s_50_BGSNL023-23,2203043,AZD12204.1,genus:Thetidia,13552392,623,839,1530,10.0,65.0,31.58,28.0,null,null,null,null,null,null
BSNHM1607-25_r_1_s_100_BSNHM1607-25,BSNHM1607-25,r_1_s_100,>BSNHM1607-25_r_1_s_100_BSNHM1607-25,1869811,XVC10472.1,family:Plutellidae,8234998,1054,3,1530,22.0,101.0,61.97,61.0,null,null,null,null,null,null
BSNHM4782-25_r_1.5_s_50_BSNHM4782-25,BSNHM4782-25,r_1.5_s_50,>BSNHM4782-25_r_1.5_s_50_BSNHM4782-25,1588530,ALO70765.1,tribe:Xantholinini,30017504,6825,1276,1542,0.0,535.0,259.57,280.0,null,null,null,null,null,null
BSNHM1691-25_r_1.5_s_100_BSNHM1691-25,BSNHM1691-25,r_1.5_s_100,>BSNHM1691-25_r_1.5_s_100_BSNHM1691-25,2746747,QKX48739.1,species:Linoclostis gonatias,16110976,688,21,1530,8.0,94.0,38.11,30.0,null,null,null,null,null,null
BGSNL057-23_r_1.5_s_100_BGSNL057-23,BGSNL057-23,r_1.5_s_100,>BGSNL057-23_r_1.5_s_100_BGSNL057-23,1816890,AZD12114.1,genus:Cyclophora,11643124,2975,50,1536,0.0,489.0,141.29,124.0,null,null,null,null,null,null
BSNHM4569-25_r_1.5_s_100_BSNHM4569-25,BSNHM4569-25,r_1.5_s_100,>BSNHM4569-25_r_1.5_s_100_BSNHM4569-25,1553106,ALO70341.1,genus:Atheta,45699664,110,209,1542,0.0,22.0,4.99,2.0,null,null,null,null,null,null
BSNHM1528-25_r_1.5_s_100_BSNHM1528-25,BSNHM1528-25,r_1.5_s_100,>BSNHM1528-25_r_1.5_s_100_BSNHM1528-25,2881585,WYN06729.1,family:Cryptophagidae,9469315,168,131,1530,0.0,30.0,8.15,8.0,null,null,null,null,null,null
BSNHM4601-25_r_1_s_50_BSNHM4601-25,BSNHM4601-25,r_1_s_50,>BSNHM4601-25_r_1_s_50_BSNHM4601-25,2792629,UBS94005.1,family:Cixiidae,11546465,1133,428,1542,2.0,80.0,42.26,42.0,null,null,null,null,null,null
BSNHM1619-25_r_1_s_50_BSNHM1619-25,BSNHM1619-25,r_1_s_50,>BSNHM1619-25_r_1_s_50_BSNHM1619-25,2828462,YP_010177771.1,subfamily:Oecophorinae,19737098,1828,1072,1530,35.0,144.0,87.43,89.0,null,null,null,null,null,null
BSNHM2060-25_r_1.5_s_50_BSNHM2060-25,BSNHM2060-25,r_1.5_s_50,>BSNHM2060-25_r_1.5_s_50_BSNHM2060-25,2680750,AYW52169.1,family:Anthicidae,17473682,4516,2230,1557,0.0,299.0,158.36,161.0,null,null,null,null,null,null
BSNHM4760-25_r_1.5_s_50_BSNHM4760-25,BSNHM4760-25,r_1.5_s_50,>BSNHM4760-25_r_1.5_s_50_BSNHM4760-25,1321675,ALO70457.1,tribe:Oxypodini,10792861,15362,3291,1545,0.0,1388.0,544.44,525.0,null,null,null,null,null,null
BSNHM4823-25_r_1_s_100_BSNHM4823-25,BSNHM4823-25,r_1_s_100,>BSNHM4823-25_r_1_s_100_BSNHM4823-25,433230,ALO77374.1,subfamily:Malachiinae,22156521,10751,46,1542,0.0,1254.0,486.54,523.5,null,null,null,null,null,null
BSNHM1559-25_r_1.3_s_50_BSNHM1559-25,BSNHM1559-25,r_1.3_s_50,>BSNHM1559-25_r_1.3_s_50_BSNHM1559-25,1425589,QWB85678.1,genus:Orsodacne,18989799,8641,860,1539,0.0,514.0,267.95,263.0,null,null,null,null,null,null
BSNHM1604-25_r_1.5_s_50_BSNHM1604-25,BSNHM1604-25,r_1.5_s_50,>BSNHM1604-25_r_1.5_s_50_BSNHM1604-25,1526871,AYW52169.1,family:Anthicidae,11550070,943,207,1557,0.0,107.0,24.93,20.0,null,null,null,null,null,null
BSNHM1619-25_r_1.5_s_50_BSNHM1619-25,BSNHM1619-25,r_1.5_s_50,>BSNHM1619-25_r_1.5_s_50_BSNHM1619-25,2828462,YP_010177771.1,subfamily:Oecophorinae,19737098,1589,1311,1530,33.0,130.0,78.82,79.0,null,null,null,null,null,null
BSNHM2056-25_r_1.3_s_50_BSNHM2056-25,BSNHM2056-25,r_1.3_s_50,>BSNHM2056-25_r_1.3_s_50_BSNHM2056-25,2680750,AYW52169.1,family:Anthicidae,16577568,3002,684,1557,0.0,227.0,102.68,94.0,null,null,null,null,null,null
BSNHM4748-25_r_1.3_s_50_BSNHM4748-25,BSNHM4748-25,r_1.3_s_50,>BSNHM4748-25_r_1.3_s_50_BSNHM4748-25,1587056,ALO70341.1,genus:Atheta,61576323,1802,721,1542,6.0,182.0,52.43,49.5,null,null,null,null,null,null
BGSNL012-23_r_1.5_s_100_BGSNL012-23,BGSNL012-23,r_1.5_s_100,>BGSNL012-23_r_1.5_s_100_BGSNL012-23,393382,AWN56264.1,family:Geometridae,12127937,1258,463,1545,0.0,165.0,67.89,69.0,null,null,null,null,null,null
BGSNL026-23_r_1.5_s_100_BGSNL026-23,BGSNL026-23,r_1.5_s_100,>BGSNL026-23_r_1.5_s_100_BGSNL026-23,2203043,AZD12204.1,genus:Thetidia,11349086,666,67,1530,2.0,114.0,39.78,34.0,null,null,null,null,null,null
BSNHM1559-25_r_1_s_50_BSNHM1559-25,BSNHM1559-25,r_1_s_50,>BSNHM1559-25_r_1_s_50_BSNHM1559-25,1425589,QWB85678.1,genus:Orsodacne,18989799,8980,521,1539,0.0,530.0,280.03,274.0,null,null,null,null,null,null
BSNHM1569-25_r_1.3_s_50_BSNHM1569-25,BSNHM1569-25,r_1.3_s_50,>BSNHM1569-25_r_1.3_s_50_BSNHM1569-25,1501882,WYN07176.1,family:Phalacridae,29039653,42559,2207,1542,2.0,2278.0,1659.8,1739.5,null,null,null,null,null,null
BSNHM4631-25_r_1.5_s_100_BSNHM4631-25,BSNHM4631-25,r_1.5_s_100,>BSNHM4631-25_r_1.5_s_100_BSNHM4631-25,1553412,XDF22457.1,genus:Aphodius,15379022,2214,461,1533,32.0,210.0,121.45,118.0,null,null,null,null,null,null
BSNHM1923-25_r_1.3_s_100_BSNHM1923-25,BSNHM1923-25,r_1.3_s_100,>BSNHM1923-25_r_1.3_s_100_BSNHM1923-25,1889520,YP_009728660.1,subfamily:Alysiinae,18762111,799,13,1533,0.0,153.0,37.76,30.0,null,null,null,null,null,null
BGSNL057-23_r_1.5_s_50_BGSNL057-23,BGSNL057-23,r_1.5_s_50,>BGSNL057-23_r_1.5_s_50_BGSNL057-23,1816890,AZD12114.1,genus:Cyclophora,11643124,7903,348,1536,1.0,849.0,283.29,251.5,null,null,null,null,null,null
BSUIO204-24_r_1.3_s_50_BSUIO204-24,BSUIO204-24,r_1.3_s_50,>BSUIO204-24_r_1.3_s_50_BSUIO204-24,71293,YP_004222137.1,family:Pleurobranchidae,12434063,985,621,1527,0.0,81.0,39.4,39.0,null,null,null,null,null,null
BSNHM4631-25_r_1.5_s_50_BSNHM4631-25,BSNHM4631-25,r_1.5_s_50,>BSNHM4631-25_r_1.5_s_50_BSNHM4631-25,1553412,XDF22457.1,genus:Aphodius,15379022,3676,2215,1533,32.0,274.0,165.0,166.0,null,null,null,null,null,null
BSUIO281-24_r_1_s_100_BSUIO281-24,BSUIO281-24,r_1_s_100,>BSUIO281-24_r_1_s_100_BSUIO281-24,3218844,XVJ38221.1,superfamily:Trochoidea,12794532,2267,1061,1599,0.0,405.0,165.5,156.0,null,null,null,null,null,null
